payment_id,order_id,payment_mode,amount
140,140,Cash on Delivery,409.84
141,141,Cash on Delivery,913.83
142,142,UPI,1323.21
143,143,Debit Card,1354.48
144,144,UPI,922.3
145,145,Cash on Delivery,829.06
146,146,Wallet,1192.61
147,147,Credit Card,622.51
148,148,Cash on Delivery,747.57
149,149,UPI,1039.91
150,150,UPI,134.3
151,151,Debit Card,503.4
152,152,Debit Card,943.42
153,153,Credit Card,1275.64
154,154,Wallet,1041.04
155,155,Cash on Delivery,207.3
156,156,Credit Card,944.12
157,157,Debit Card,1252.41
158,158,Cash on Delivery,555.68
159,159,Debit Card,347.38
160,160,UPI,1069.54
161,161,Wallet,1453.51
162,162,Wallet,337.94
163,163,Debit Card,1032.48
164,164,UPI,672.01
165,165,Cash on Delivery,734.55
166,166,Debit Card,1034.11
167,167,Debit Card,213.39
168,168,Debit Card,1088.06
169,169,Debit Card,925.79
170,170,UPI,491.8
171,171,Credit Card,1271.5
172,172,Wallet,1489.26
173,173,Wallet,1089.11
174,174,Credit Card,641.24
175,175,Debit Card,1110.21
176,176,Wallet,1406.74
177,177,Credit Card,1452.96
178,178,Credit Card,1318.38
179,179,Debit Card,483.13
180,180,Debit Card,1152.53
181,181,Credit Card,205.28
182,182,Cash on Delivery,1204.08
183,183,Credit Card,389.39
184,184,Cash on Delivery,1326.97
185,185,Credit Card,494.54
186,186,Credit Card,631.66
187,187,Wallet,1433.18
188,188,UPI,1094.23
189,189,Cash on Delivery,1458.92
190,190,UPI,1289.42
191,191,Cash on Delivery,654.11
192,192,Cash on Delivery,704.46
193,193,Wallet,1396.89
194,194,Wallet,1376.17
195,195,Wallet,1148.08
196,196,Wallet,776.44
197,197,UPI,122.84
198,198,Debit Card,927.3
199,199,Credit Card,567.11
200,200,Wallet,1369.52
201,201,UPI,998.44
202,202,UPI,1181.98
203,203,UPI,312.53
204,204,Cash on Delivery,299.51
205,205,Credit Card,745.64
206,206,UPI,1331.84
207,207,UPI,967.22
208,208,Debit Card,464.45
209,209,Wallet,679.24
210,210,Debit Card,778.92
211,211,UPI,559.98
212,212,Cash on Delivery,392.57
213,213,Cash on Delivery,1460.77
214,214,UPI,259.27
215,215,Debit Card,285.79
216,216,UPI,604.65
217,217,Debit Card,794.69
218,218,Wallet,727.73
219,219,Cash on Delivery,1437.91
220,220,Wallet,1402.11
221,221,Cash on Delivery,847.56
222,222,UPI,698.1
223,223,Cash on Delivery,1182.29
224,224,Wallet,175.08
225,225,UPI,989.06
226,226,Cash on Delivery,1180.98
227,227,Credit Card,651.48
228,228,Credit Card,560.64
229,229,Wallet,1236.97
230,230,Credit Card,1320.26
231,231,UPI,376.15
232,232,UPI,1408.37
233,233,Wallet,931.09
234,234,Credit Card,278.16
235,235,UPI,1510.47
236,236,UPI,422.35
237,237,Wallet,1378.75
238,238,UPI,1081.51
239,239,UPI,840.22
240,240,Debit Card,290.92
241,241,Wallet,1260.27
242,242,Wallet,1043.67
243,243,Wallet,1453.83
244,244,Credit Card,604.93
245,245,UPI,575.28
246,246,Cash on Delivery,1243.01
247,247,Wallet,953.3
248,248,Debit Card,1513.1
249,249,UPI,271.18
250,250,Wallet,1133.69
251,251,Wallet,572.03
252,252,Wallet,478.81
253,253,Debit Card,1126.33
254,254,Cash on Delivery,700.26
255,255,Wallet,1236.43
256,256,Credit Card,1434.21
257,257,Wallet,1201.06
258,258,Wallet,1492.15
259,259,Credit Card,1381.51
260,260,Cash on Delivery,733.85
261,261,Debit Card,1389.58
262,262,Cash on Delivery,601.23
263,263,Wallet,249.39
264,264,UPI,1381.25
265,265,Cash on Delivery,1497.0
266,266,UPI,303.64
267,267,UPI,782.62
268,268,Wallet,1300.87
269,269,Cash on Delivery,1130.36
270,270,UPI,742.45
271,271,Credit Card,1375.49
272,272,Credit Card,1239.53
273,273,Wallet,1149.89
274,274,Credit Card,308.96
275,275,Credit Card,144.14
276,276,Credit Card,265.16
277,277,Wallet,1512.41
278,278,Credit Card,203.79
279,279,Credit Card,281.14
280,280,Credit Card,1407.48
281,281,Debit Card,829.81
282,282,Credit Card,1258.96
283,283,Cash on Delivery,1494.97
284,284,Debit Card,942.04
285,285,Debit Card,394.19
286,286,Cash on Delivery,804.68
287,287,Credit Card,473.59
288,288,Cash on Delivery,662.8
289,289,UPI,150.56
290,290,Debit Card,504.33
291,291,Wallet,221.72
292,292,Credit Card,565.1
293,293,Debit Card,1187.33
294,294,UPI,199.34
295,295,UPI,1388.43
296,296,Wallet,542.89
297,297,Wallet,669.36
298,298,Cash on Delivery,114.65
299,299,Credit Card,1439.69
300,300,UPI,946.45
301,301,Cash on Delivery,252.32
302,302,Wallet,414.65
303,303,Cash on Delivery,1516.48
304,304,Debit Card,1468.19
305,305,Cash on Delivery,96.56
306,306,Cash on Delivery,893.52
307,307,Cash on Delivery,1062.24
308,308,Cash on Delivery,1322.18
309,309,Cash on Delivery,732.38
310,310,Wallet,248.42
311,311,Wallet,166.89
312,312,Cash on Delivery,261.41
313,313,UPI,189.22
314,314,Credit Card,1138.76
315,315,UPI,1100.73
316,316,Wallet,1318.63
317,317,Debit Card,770.62
318,318,Wallet,1420.74
319,319,Credit Card,1507.46
320,320,Wallet,560.64
321,321,Cash on Delivery,962.7
322,322,Credit Card,1493.13
323,323,UPI,1206.29
324,324,UPI,1388.59
325,325,Cash on Delivery,217.3
326,326,Cash on Delivery,451.0
327,327,Credit Card,1370.47
328,328,Credit Card,565.66
329,329,Wallet,1380.51
330,330,Debit Card,360.89
331,331,Cash on Delivery,1490.55
332,332,Wallet,786.89
333,333,Wallet,196.75
334,334,Wallet,1508.68
335,335,Cash on Delivery,1125.69
336,336,Debit Card,692.66
337,337,Cash on Delivery,1031.71
338,338,Debit Card,1255.13
339,339,Wallet,625.93
340,340,Wallet,153.82
341,341,Credit Card,600.27
342,342,Cash on Delivery,153.68
343,343,Cash on Delivery,535.21
344,344,UPI,1340.58
345,345,Cash on Delivery,645.75
346,346,UPI,1318.01
347,347,Wallet,1372.03
348,348,Cash on Delivery,1243.77
349,349,Debit Card,647.4
350,350,UPI,1130.96
351,351,UPI,428.96
352,352,Credit Card,1380.54
353,353,Wallet,1172.05
354,354,UPI,993.31
355,355,Debit Card,641.95
356,356,UPI,533.31
357,357,Debit Card,193.23
358,358,Credit Card,1186.62
359,359,Wallet,1386.01
360,360,Wallet,785.88
361,361,UPI,789.49
362,362,UPI,578.03
363,363,Debit Card,755.58
364,364,Credit Card,832.66
365,365,UPI,1207.77
366,366,Debit Card,1407.12
367,367,UPI,1492.05
368,368,UPI,605.05
369,369,Debit Card,383.56
370,370,Wallet,504.67
371,371,Credit Card,122.03
372,372,Debit Card,721.31
373,373,Credit Card,570.75
374,374,Debit Card,949.36
375,375,Wallet,200.8
376,376,Debit Card,772.3
377,377,Wallet,686.52
378,378,Debit Card,785.66
379,379,Credit Card,473.9
380,380,Debit Card,1117.34
381,381,Debit Card,1507.18
382,382,Cash on Delivery,334.44
383,383,UPI,668.54
384,384,Debit Card,1103.74
385,385,UPI,880.88
386,386,Cash on Delivery,333.14
387,387,Wallet,362.77
388,388,Debit Card,399.39
389,389,Credit Card,1036.06
390,390,Cash on Delivery,941.88
391,391,Cash on Delivery,374.78
392,392,UPI,447.32
393,393,UPI,178.13
394,394,Wallet,1436.49
395,395,Credit Card,356.65
396,396,Credit Card,1038.23
397,397,Debit Card,1204.89
398,398,Cash on Delivery,1481.82
399,399,Wallet,593.28
400,400,Wallet,160.67
401,401,UPI,973.63
402,402,Cash on Delivery,1175.7
403,403,Wallet,395.65
404,404,Debit Card,296.54
405,405,Credit Card,1167.23
406,406,Debit Card,1410.67
407,407,Credit Card,839.67
408,408,Debit Card,997.88
409,409,Cash on Delivery,429.47
410,410,Wallet,722.39
411,411,Credit Card,1338.7
412,412,Cash on Delivery,742.01
413,413,UPI,701.06
414,414,Debit Card,1134.7
415,415,Credit Card,198.98
416,416,Debit Card,1145.83
417,417,Wallet,817.21
418,418,Wallet,387.61
419,419,UPI,1128.71
420,420,Debit Card,1146.76
421,421,UPI,1112.68
422,422,UPI,992.64
423,423,Wallet,684.0
424,424,Credit Card,464.19
425,425,Wallet,1204.72
426,426,Debit Card,1259.65
427,427,Wallet,1532.4
428,428,Wallet,696.34
429,429,Wallet,380.29
430,430,UPI,182.89
431,431,Wallet,1331.38
432,432,Debit Card,143.87
433,433,Credit Card,1157.91
434,434,Credit Card,649.45
435,435,Debit Card,965.04
436,436,Debit Card,630.24
437,437,Debit Card,1164.21
438,438,Cash on Delivery,644.09
439,439,Debit Card,126.34
440,440,Credit Card,1503.62
441,441,Debit Card,631.58
442,442,Credit Card,1147.36
443,443,Debit Card,159.98
444,444,Wallet,350.95
445,445,Debit Card,379.22
446,446,UPI,1425.51
447,447,Credit Card,1474.67
448,448,Credit Card,253.02
449,449,Wallet,1023.31
450,450,Cash on Delivery,1249.18
451,451,Wallet,1153.17
452,452,Debit Card,560.83
453,453,Credit Card,1269.18
454,454,Wallet,678.25
455,455,Credit Card,313.51
456,456,Wallet,578.15
457,457,Credit Card,828.15
458,458,UPI,1340.98
459,459,UPI,1137.86
460,460,Cash on Delivery,603.01
461,461,Credit Card,1136.11
462,462,Wallet,588.81
463,463,Cash on Delivery,931.65
464,464,Wallet,1134.61
465,465,Debit Card,673.85
466,466,Credit Card,347.7
467,467,UPI,1000.5
468,468,UPI,1035.74
469,469,UPI,1350.67
470,470,Cash on Delivery,261.71
471,471,Credit Card,515.96
472,472,Debit Card,519.94
473,473,Wallet,690.06
474,474,UPI,1143.02
475,475,UPI,376.5
476,476,Credit Card,283.23
477,477,Credit Card,1506.81
478,478,Debit Card,444.95
479,479,Cash on Delivery,313.11
480,480,UPI,392.92
481,481,Debit Card,1316.4
482,482,Debit Card,303.58
483,483,UPI,662.24
484,484,Debit Card,226.82
485,485,Wallet,922.76
486,486,Credit Card,676.3
487,487,Credit Card,684.1
488,488,Debit Card,1335.06
489,489,Credit Card,375.96
490,490,UPI,1127.92
491,491,Credit Card,1453.52
492,492,Debit Card,773.52
493,493,Wallet,320.97
494,494,Debit Card,1073.98
495,495,Wallet,503.06
496,496,Wallet,1455.72
497,497,Wallet,1439.97
498,498,Debit Card,1238.38
499,499,Debit Card,831.14
500,500,Cash on Delivery,1010.67
501,501,Credit Card,473.75
502,502,Wallet,1000.7
503,503,Credit Card,356.59
504,504,Wallet,380.58
505,505,Cash on Delivery,526.05
506,506,Debit Card,414.04
507,507,Credit Card,1399.76
508,508,Cash on Delivery,592.79
509,509,UPI,711.62
510,510,Wallet,138.28
511,511,Debit Card,707.35
512,512,Debit Card,337.49
513,513,UPI,501.24
514,514,Credit Card,1484.67
515,515,Cash on Delivery,1261.46
516,516,Credit Card,324.49
517,517,Debit Card,1191.52
518,518,Wallet,721.22
519,519,Wallet,1134.87
520,520,UPI,407.07
521,521,Debit Card,400.65
522,522,Credit Card,194.0
523,523,Debit Card,1336.4
524,524,Credit Card,698.1
525,525,Wallet,505.94
526,526,Debit Card,201.27
527,527,Wallet,399.89
528,528,Debit Card,1098.33
529,529,Cash on Delivery,960.6
530,530,Wallet,312.42
531,531,UPI,1407.95
532,532,Cash on Delivery,855.33
533,533,Credit Card,1383.2
534,534,UPI,881.36
535,535,Cash on Delivery,549.1
536,536,UPI,819.56
537,537,Credit Card,674.46
538,538,Cash on Delivery,931.71
539,539,Cash on Delivery,500.17
540,540,Wallet,166.68
541,541,Wallet,1014.68
542,542,Wallet,1037.02
543,543,Wallet,700.42
544,544,Credit Card,449.64
545,545,Cash on Delivery,1150.51
546,546,Credit Card,404.86
547,547,Cash on Delivery,322.6
548,548,Credit Card,357.0
549,549,UPI,1010.59
550,550,UPI,192.22
551,551,Debit Card,322.47
552,552,Credit Card,1301.89
553,553,Cash on Delivery,517.0
554,554,Cash on Delivery,1305.11
555,555,Credit Card,550.44
556,556,Cash on Delivery,306.02
557,557,Debit Card,337.02
558,558,Wallet,454.71
559,559,UPI,1508.12
560,560,UPI,304.23
561,561,Wallet,715.39
562,562,Debit Card,991.51
563,563,Debit Card,1276.79
564,564,Wallet,564.29
565,565,Cash on Delivery,1466.53
566,566,Wallet,564.62
567,567,Wallet,1261.74
568,568,UPI,816.3
569,569,Debit Card,945.25
570,570,Credit Card,421.19
571,571,Wallet,644.89
572,572,UPI,1515.63
573,573,Wallet,291.26
574,574,Debit Card,172.1
575,575,Debit Card,612.6
576,576,UPI,764.08
577,577,Wallet,752.68
578,578,UPI,956.61
579,579,UPI,918.38
580,580,Credit Card,1426.25
581,581,Debit Card,979.99
582,582,Debit Card,1272.93
583,583,Wallet,1263.07
584,584,Cash on Delivery,143.94
585,585,Wallet,366.69
586,586,Credit Card,930.02
587,587,Debit Card,1205.32
588,588,Cash on Delivery,1508.0
589,589,Credit Card,1244.15
590,590,UPI,509.55
591,591,Credit Card,1386.22
592,592,UPI,1529.48
593,593,Credit Card,589.43
594,594,Credit Card,479.39
595,595,UPI,229.07
596,596,Credit Card,744.32
597,597,Cash on Delivery,225.67
598,598,Credit Card,1020.43
599,599,Debit Card,702.18
600,600,Debit Card,654.74
601,601,UPI,1154.52
602,602,Debit Card,334.61
603,603,Credit Card,783.67
604,604,Credit Card,1438.91
605,605,Debit Card,606.46
606,606,UPI,152.15
607,607,UPI,1531.4
608,608,Cash on Delivery,210.19
609,609,Debit Card,212.16
610,610,Cash on Delivery,868.66
611,611,Wallet,613.33
612,612,Debit Card,1076.17
613,613,UPI,931.18
614,614,Cash on Delivery,599.02
615,615,UPI,326.65
616,616,Wallet,499.29
617,617,Credit Card,179.1
618,618,Credit Card,407.4
619,619,Cash on Delivery,157.82
620,620,UPI,695.55
621,621,Wallet,1428.36
622,622,Wallet,674.07
623,623,Cash on Delivery,1543.72
624,624,Debit Card,274.72
625,625,Wallet,916.98
626,626,Debit Card,878.98
627,627,UPI,717.39
628,628,UPI,1226.1
629,629,Credit Card,1046.3
630,630,UPI,1309.84
631,631,Debit Card,482.07
632,632,Cash on Delivery,304.81
633,633,Debit Card,716.09
634,634,Debit Card,1318.47
635,635,Wallet,244.31
636,636,UPI,1401.18
637,637,Wallet,387.54
638,638,Credit Card,1216.92
639,639,Credit Card,293.88
640,640,Credit Card,246.45
641,641,UPI,1240.22
642,642,Cash on Delivery,638.54
643,643,UPI,1406.15
644,644,Debit Card,807.85
645,645,Credit Card,365.32
646,646,Debit Card,263.85
647,647,UPI,494.06
648,648,UPI,793.65
649,649,Wallet,413.28
650,650,UPI,335.52
651,651,Cash on Delivery,1279.72
652,652,Cash on Delivery,1405.98
653,653,Wallet,548.06
654,654,Wallet,293.25
655,655,Cash on Delivery,1041.48
656,656,Wallet,1118.55
657,657,Debit Card,503.34
658,658,UPI,937.32
659,659,Debit Card,185.22
660,660,Cash on Delivery,349.36
661,661,UPI,1398.75
662,662,UPI,177.79
663,663,Cash on Delivery,557.7
664,664,Credit Card,683.35
665,665,Credit Card,1426.68
666,666,Debit Card,1349.38
667,667,UPI,1275.81
668,668,UPI,294.7
669,669,Cash on Delivery,481.8
670,670,Cash on Delivery,1203.7
671,671,Debit Card,842.93
672,672,Wallet,423.87
673,673,UPI,1063.22
674,674,Cash on Delivery,119.45
675,675,Debit Card,1283.95
676,676,Wallet,1062.9
677,677,Wallet,1348.03
678,678,UPI,1112.07
679,679,Wallet,1159.97
680,680,Credit Card,746.03
681,681,Credit Card,675.18
682,682,Wallet,1047.64
683,683,Credit Card,866.66
684,684,Cash on Delivery,404.46
685,685,UPI,525.28
686,686,Debit Card,1176.15
687,687,Debit Card,1106.71
688,688,Cash on Delivery,1182.14
689,689,UPI,401.02
690,690,Cash on Delivery,168.29
691,691,UPI,981.97
692,692,Cash on Delivery,1281.24
693,693,Cash on Delivery,1200.85
694,694,UPI,1182.93
695,695,Debit Card,1280.46
696,696,Cash on Delivery,284.41
697,697,Wallet,1033.38
698,698,Cash on Delivery,637.6
699,699,Debit Card,1369.48
700,700,Credit Card,1370.5
701,701,Cash on Delivery,1128.32
702,702,Credit Card,548.01
703,703,Wallet,847.41
704,704,Wallet,1226.47
705,705,Credit Card,545.79
706,706,UPI,1377.05
707,707,UPI,1109.87
708,708,Credit Card,182.28
709,709,Debit Card,1467.92
710,710,Wallet,1070.19
711,711,Wallet,691.14
712,712,Credit Card,389.51
713,713,Credit Card,839.68
714,714,UPI,790.65
715,715,Wallet,978.72
716,716,Wallet,1411.77
717,717,Wallet,785.34
718,718,Cash on Delivery,1300.94
719,719,UPI,1323.4
720,720,UPI,851.19
721,721,Cash on Delivery,532.81
722,722,Credit Card,252.89
723,723,Debit Card,238.35
724,724,Debit Card,786.08
725,725,Debit Card,1341.09
726,726,Debit Card,369.58
727,727,UPI,1476.56
728,728,Cash on Delivery,789.5
729,729,Wallet,120.79
730,730,Cash on Delivery,1397.25
731,731,UPI,1501.98
732,732,Credit Card,647.83
733,733,Cash on Delivery,785.39
734,734,UPI,228.83
735,735,Credit Card,954.35
736,736,Debit Card,955.21
737,737,UPI,1307.84
738,738,Wallet,1218.14
739,739,Debit Card,1143.19
740,740,Wallet,294.89
741,741,Cash on Delivery,1417.5
742,742,Wallet,392.48
743,743,Debit Card,1286.08
744,744,Credit Card,419.53
745,745,UPI,1334.62
746,746,Debit Card,370.36
747,747,UPI,1250.21
748,748,Credit Card,1215.9
749,749,Cash on Delivery,163.08
750,750,Debit Card,230.06
751,751,Credit Card,1438.17
752,752,Wallet,964.39
753,753,Credit Card,477.18
754,754,Wallet,1435.5
755,755,UPI,584.64
756,756,Wallet,776.33
757,757,UPI,1035.06
758,758,Cash on Delivery,166.51
759,759,Debit Card,877.15
760,760,Debit Card,876.13
761,761,Debit Card,712.77
762,762,Wallet,946.18
763,763,Debit Card,278.97
764,764,Wallet,1513.78
765,765,UPI,472.46
766,766,Cash on Delivery,1465.84
767,767,Credit Card,569.85
768,768,UPI,497.47
769,769,Wallet,407.91
770,770,Debit Card,1035.56
771,771,Credit Card,564.84
772,772,Cash on Delivery,1334.37
773,773,Wallet,879.16
774,774,Debit Card,1445.6
775,775,Wallet,1151.7
776,776,Cash on Delivery,1264.16
777,777,UPI,776.8
778,778,Cash on Delivery,1195.03
779,779,Credit Card,1546.87
780,780,Debit Card,636.57
781,781,UPI,558.83
782,782,Wallet,737.99
783,783,Credit Card,220.13
784,784,Credit Card,383.62
785,785,Credit Card,329.5
786,786,UPI,1341.0
787,787,Credit Card,1475.71
788,788,UPI,960.31
789,789,Cash on Delivery,408.26
790,790,Wallet,1340.86
791,791,Credit Card,807.05
792,792,Credit Card,1386.14
793,793,UPI,1238.16
794,794,Debit Card,681.04
795,795,Credit Card,1159.16
796,796,Wallet,1052.08
797,797,Debit Card,596.68
798,798,Debit Card,1096.41
799,799,Credit Card,216.66
800,800,Wallet,1416.77
801,801,UPI,1237.2
802,802,Credit Card,1026.96
803,803,Debit Card,722.73
804,804,Wallet,1275.28
805,805,Cash on Delivery,1439.65
806,806,Wallet,303.89
807,807,Debit Card,240.77
808,808,Cash on Delivery,524.65
809,809,Debit Card,253.76
810,810,Credit Card,553.86
811,811,Credit Card,792.89
812,812,Credit Card,514.27
813,813,Cash on Delivery,715.27
814,814,Cash on Delivery,272.03
815,815,UPI,1531.77
816,816,UPI,899.5
817,817,Credit Card,141.09
818,818,Wallet,871.22
819,819,Credit Card,742.67
820,820,UPI,1505.36
821,821,UPI,823.84
822,822,Wallet,1358.95
823,823,Cash on Delivery,1469.2
824,824,Credit Card,474.28
825,825,UPI,995.82
826,826,Debit Card,213.4
827,827,UPI,992.55
828,828,Credit Card,1378.63
829,829,Debit Card,966.11
830,830,Debit Card,708.18
831,831,UPI,1045.45
832,832,Credit Card,977.86
833,833,UPI,214.93
834,834,Wallet,706.81
835,835,Wallet,548.58
836,836,Wallet,1466.66
837,837,Cash on Delivery,1233.94
838,838,Credit Card,182.58
839,839,Wallet,687.54
840,840,Debit Card,887.63
841,841,Credit Card,841.7
842,842,Cash on Delivery,175.46
843,843,Debit Card,1317.85
844,844,Wallet,152.44
845,845,Cash on Delivery,396.16
846,846,Cash on Delivery,542.01
847,847,UPI,508.21
848,848,Cash on Delivery,828.48
849,849,UPI,1127.31
850,850,Credit Card,643.31
851,851,Debit Card,896.84
852,852,Debit Card,989.09
853,853,Cash on Delivery,463.44
854,854,Credit Card,1340.84
855,855,UPI,1464.24
856,856,Debit Card,1419.44
857,857,Debit Card,1160.68
858,858,Debit Card,824.47
859,859,Credit Card,109.03
860,860,Cash on Delivery,982.02
861,861,Debit Card,1277.6
862,862,Credit Card,1465.76
863,863,UPI,124.77
864,864,Cash on Delivery,377.65
865,865,Wallet,216.64
866,866,UPI,520.94
867,867,Wallet,1444.78
868,868,Debit Card,1141.53
869,869,Cash on Delivery,597.43
870,870,Debit Card,387.35
871,871,Wallet,367.77
872,872,Debit Card,717.66
873,873,UPI,645.06
874,874,Wallet,1386.38
875,875,UPI,1310.64
876,876,Debit Card,1024.87
877,877,Debit Card,1135.15
878,878,Debit Card,1464.9
879,879,Wallet,601.95
880,880,UPI,1041.13
881,881,Cash on Delivery,1510.19
882,882,Debit Card,809.9
883,883,Debit Card,175.66
884,884,Cash on Delivery,1280.34
885,885,Wallet,526.65
886,886,Credit Card,1373.25
887,887,Wallet,714.65
888,888,Credit Card,231.41
889,889,Debit Card,1034.24
890,890,UPI,603.27
891,891,Wallet,353.47
892,892,Wallet,417.62
893,893,Wallet,1188.23
894,894,Cash on Delivery,305.19
895,895,Cash on Delivery,480.26
896,896,Cash on Delivery,760.09
897,897,UPI,947.26
898,898,UPI,1108.7
899,899,Wallet,480.04
900,900,Cash on Delivery,788.16
901,901,UPI,553.0
902,902,UPI,597.68
903,903,Cash on Delivery,904.02
904,904,Debit Card,1151.64
905,905,Wallet,1068.56
906,906,Wallet,264.44
907,907,Wallet,863.45
908,908,UPI,291.1
909,909,UPI,1251.06
910,910,Cash on Delivery,521.84
911,911,UPI,336.65
912,912,Wallet,792.88
913,913,UPI,1130.99
914,914,Credit Card,674.19
915,915,UPI,865.78
916,916,Credit Card,1198.8
917,917,UPI,1420.99
918,918,Debit Card,241.05
919,919,Debit Card,187.38
920,920,Cash on Delivery,754.32
921,921,Cash on Delivery,324.89
922,922,Cash on Delivery,692.62
923,923,Debit Card,841.98
924,924,Credit Card,1509.23
925,925,UPI,1471.83
926,926,Cash on Delivery,730.78
927,927,Credit Card,1386.94
928,928,Debit Card,869.64
929,929,Wallet,953.87
930,930,Credit Card,855.98
931,931,Debit Card,1080.58
932,932,Debit Card,164.04
933,933,Debit Card,681.33
934,934,Debit Card,668.25
935,935,UPI,1300.0
936,936,Cash on Delivery,895.29
937,937,Cash on Delivery,1192.07
938,938,Debit Card,994.05
939,939,Debit Card,1233.37
940,940,Cash on Delivery,405.18
941,941,Wallet,956.58
942,942,Wallet,590.97
943,943,Wallet,1114.42
944,944,UPI,904.34
945,945,Debit Card,754.5
946,946,Debit Card,718.11
947,947,Wallet,649.78
948,948,Credit Card,395.58
949,949,Wallet,888.7
950,950,Wallet,1018.2
951,951,Wallet,870.2
952,952,Cash on Delivery,356.56
953,953,Cash on Delivery,1055.96
954,954,Debit Card,359.65
955,955,UPI,1448.84
956,956,Debit Card,1442.76
957,957,Credit Card,1358.6
958,958,Debit Card,1466.81
959,959,Wallet,776.23
960,960,UPI,1273.13
961,961,Cash on Delivery,101.39
962,962,Debit Card,210.77
963,963,Credit Card,1126.9
964,964,Credit Card,641.82
965,965,UPI,279.49
966,966,Credit Card,643.21
967,967,UPI,593.33
968,968,Credit Card,610.73
969,969,Cash on Delivery,972.16
970,970,Credit Card,925.92
971,971,Cash on Delivery,786.89
972,972,UPI,1322.86
973,973,UPI,932.58
974,974,UPI,1503.0
975,975,Debit Card,1343.14
976,976,Debit Card,157.56
977,977,Credit Card,990.71
