order_id,customer_id,restaurant_id,partner_id,order_time,delivered_time,order_amount,delivery_fee,status
30,411,8,162,2024-05-17 14:20:28,2024-05-17 14:51:28,598.8,52.67,Delivered
31,862,59,195,2024-08-18 08:44:47,2024-08-18 09:41:47,999.87,18.83,Delivered
32,394,85,49,2023-08-21 03:20:49,2023-08-21 04:29:49,1352.97,41.53,Delivered
33,87,81,113,2024-07-25 03:26:10,2024-07-25 04:10:10,278.72,19.65,Delivered
34,608,31,126,2023-10-29 23:09:07,2023-10-29 23:37:07,1205.69,42.17,Delivered
35,989,58,5,2023-01-29 18:31:32,2023-01-29 19:34:32,159.6,49.39,Delivered
36,122,28,168,2024-06-02 07:40:46,,730.89,43.9,Cancelled
37,153,95,149,2023-06-30 23:10:02,2023-06-30 23:39:02,132.37,17.08,Delivered
38,483,80,12,2023-07-08 11:55:50,,100.4,41.63,Cancelled
39,841,13,117,2024-04-19 18:04:35,2024-04-19 18:45:35,1266.2,13.2,Delivered
40,117,64,153,2024-09-12 17:42:21,2024-09-12 18:30:21,169.62,20.13,Delivered
41,856,95,174,2023-11-09 05:59:01,2023-11-09 07:00:01,251.54,44.2,Delivered
42,330,28,196,2023-02-05 09:47:41,2023-02-05 10:29:41,556.42,16.04,Delivered
43,426,22,179,2023-10-15 07:56:43,2023-10-15 09:26:43,314.31,22.18,Delivered
44,137,13,162,2024-04-20 16:44:13,2024-04-20 17:52:13,1184.28,10.78,Delivered
45,7,1,46,2024-12-20 08:26:39,2024-12-20 08:57:39,1083.57,39.69,Delivered
46,711,99,122,2024-06-21 18:29:41,2024-06-21 19:05:41,372.75,41.99,Delivered
47,422,31,45,2024-04-19 05:15:10,2024-04-19 05:39:10,926.71,45.86,Delivered
48,91,81,78,2023-09-28 04:27:37,2023-09-28 05:40:37,86.49,21.78,Delivered
49,543,13,159,2023-10-09 02:19:45,2023-10-09 03:48:45,800.71,33.21,Delivered
50,214,36,14,2023-05-31 11:11:01,,1211.19,44.26,Pending
51,486,64,46,2023-05-05 02:08:04,2023-05-05 02:33:04,156.72,28.21,Delivered
52,258,43,158,2024-09-17 09:09:08,,141.51,47.02,Cancelled
53,181,21,8,2024-01-12 18:11:59,2024-01-12 19:36:59,244.81,54.75,Delivered
54,607,75,84,2023-11-22 11:57:41,2023-11-22 12:42:41,1140.86,54.92,Delivered
55,113,42,59,2023-03-18 04:02:52,2023-03-18 04:52:52,1127.6,53.49,Delivered
56,226,10,121,2024-03-30 10:54:36,2024-03-30 12:16:36,157.16,31.79,Delivered
57,625,59,46,2023-10-28 20:21:36,2023-10-28 21:28:36,273.69,45.99,Delivered
58,999,35,52,2023-09-18 21:28:06,2023-09-18 22:04:06,125.57,38.43,Delivered
59,114,60,118,2023-11-21 20:15:26,2023-11-21 20:56:26,1159.68,20.99,Delivered
60,161,82,157,2024-12-04 09:11:57,2024-12-04 09:52:57,900.93,37.64,Delivered
61,422,67,126,2024-10-31 16:33:18,2024-10-31 17:20:18,920.04,51.85,Delivered
62,748,55,189,2024-11-08 18:24:52,2024-11-08 19:15:52,431.92,31.71,Delivered
63,950,76,39,2024-12-10 17:37:21,,673.24,12.21,Pending
64,752,99,130,2023-01-27 02:43:57,2023-01-27 03:57:57,834.19,33.96,Delivered
65,842,13,116,2024-01-20 16:46:56,2024-01-20 17:36:56,197.99,47.65,Delivered
66,417,28,34,2023-10-06 09:09:58,2023-10-06 10:06:58,419.47,59.95,Delivered
67,686,40,42,2024-06-30 06:32:45,2024-06-30 07:50:45,1298.25,47.36,Delivered
68,466,60,198,2023-04-18 16:08:13,2023-04-18 17:19:13,342.62,53.58,Delivered
69,721,82,1,2024-10-30 06:41:42,2024-10-30 07:10:42,626.53,44.54,Delivered
70,304,55,193,2023-07-29 13:14:18,2023-07-29 14:43:18,896.83,20.36,Delivered
71,636,43,189,2024-12-25 02:16:26,2024-12-25 02:43:26,810.93,55.5,Delivered
72,53,15,99,2023-10-11 23:06:27,2023-10-12 00:25:27,959.17,28.28,Delivered
73,573,91,18,2024-03-11 13:17:26,2024-03-11 14:03:26,276.54,26.75,Delivered
74,665,62,189,2024-12-30 10:59:10,2024-12-30 11:45:10,1149.51,48.04,Delivered
75,920,35,129,2024-06-12 08:20:43,2024-06-12 09:34:43,473.55,13.17,Delivered
76,498,65,135,2024-10-06 08:06:57,,747.63,36.6,Cancelled
77,922,38,116,2024-04-27 07:22:14,2024-04-27 08:29:14,1215.86,57.27,Delivered
78,964,9,49,2024-11-23 18:16:51,2024-11-23 19:34:51,203.98,29.53,Delivered
79,982,10,28,2023-05-08 23:27:53,2023-05-09 00:22:53,239.07,17.4,Delivered
80,210,67,161,2023-01-18 14:58:38,,671.48,44.12,Cancelled
81,486,45,108,2023-12-11 18:09:03,,493.95,13.15,Cancelled
82,238,67,166,2023-09-18 21:12:28,2023-09-18 22:24:28,901.76,42.79,Delivered
83,498,76,171,2024-06-25 06:28:43,2024-06-25 07:55:43,1275.51,32.26,Delivered
84,136,40,44,2024-09-05 01:00:59,2024-09-05 01:53:59,402.03,28.6,Delivered
85,866,7,38,2023-10-02 06:39:02,,727.42,18.32,Cancelled
86,729,69,74,2023-05-22 13:57:17,2023-05-22 14:39:17,1271.85,44.64,Delivered
87,158,21,61,2023-04-01 19:29:49,2023-04-01 19:54:49,1491.16,38.73,Delivered
88,379,24,53,2024-03-12 21:31:19,2024-03-12 21:55:19,1025.09,58.9,Delivered
89,460,70,42,2024-02-19 11:49:32,,252.52,11.25,Cancelled
90,787,19,118,2024-12-21 15:39:21,2024-12-21 16:39:21,301.6,58.51,Delivered
91,520,43,166,2024-07-01 22:33:59,,752.95,24.49,Pending
92,588,86,38,2024-09-13 01:10:48,2024-09-13 02:26:48,560.93,15.62,Delivered
93,42,18,174,2024-03-03 22:38:19,,517.48,30.08,Cancelled
94,457,46,24,2023-09-11 11:54:43,2023-09-11 12:21:43,943.57,19.76,Delivered
95,801,99,72,2023-06-02 00:24:16,2023-06-02 00:46:16,198.7,52.47,Delivered
96,981,12,132,2023-11-03 08:35:20,2023-11-03 09:19:20,776.46,40.16,Delivered
97,58,86,93,2023-11-05 19:01:05,2023-11-05 19:39:05,1096.67,31.38,Delivered
98,13,37,89,2023-09-30 21:43:57,2023-09-30 22:42:57,1468.08,53.72,Delivered
99,746,57,190,2023-11-19 19:31:39,,489.86,50.28,Pending
100,435,94,107,2023-04-19 09:43:48,,283.97,25.16,Pending
101,538,43,17,2024-12-25 19:13:57,,205.6,30.47,Cancelled
102,425,23,143,2023-12-25 22:32:25,2023-12-25 23:09:25,362.95,51.61,Delivered
103,503,6,78,2024-10-10 05:47:44,2024-10-10 06:45:44,781.62,46.99,Delivered
104,811,1,40,2023-07-24 00:39:16,2023-07-24 01:37:16,1437.56,51.71,Delivered
105,670,86,74,2023-11-21 00:21:57,2023-11-21 01:03:57,778.48,44.39,Delivered
106,123,98,71,2024-01-18 23:07:20,2024-01-18 23:35:20,930.43,28.09,Delivered
107,447,34,161,2024-06-16 18:20:31,2024-06-16 19:40:31,1463.45,50.91,Delivered
108,751,74,5,2024-10-18 13:09:45,2024-10-18 14:02:45,311.24,12.93,Delivered
109,900,89,35,2023-10-05 14:08:52,2023-10-05 14:48:52,155.1,28.06,Delivered
110,979,46,13,2023-08-14 03:18:40,2023-08-14 04:15:40,832.05,56.82,Delivered
111,785,81,47,2024-08-16 22:50:35,2024-08-16 23:22:35,930.24,18.36,Delivered
112,324,88,78,2023-07-30 20:21:43,,216.08,39.0,Cancelled
113,14,18,133,2023-08-07 14:00:26,,1185.91,30.6,Cancelled
114,167,14,56,2023-05-01 01:06:44,,393.98,19.42,Cancelled
115,629,89,135,2024-10-19 03:52:59,2024-10-19 05:20:59,1091.82,45.11,Delivered
116,428,59,20,2023-04-01 12:56:28,2023-04-01 13:32:28,1391.24,33.98,Delivered
117,372,18,114,2024-11-22 01:42:06,2024-11-22 03:08:06,1164.3,27.1,Delivered
118,30,96,31,2023-06-22 17:03:02,2023-06-22 17:39:02,1296.68,17.12,Delivered
119,129,27,34,2023-03-03 01:18:09,2023-03-03 02:32:09,1060.96,49.2,Delivered
120,794,62,194,2023-12-01 23:02:08,2023-12-01 23:27:08,358.82,11.64,Delivered
121,608,8,121,2023-04-03 08:52:14,2023-04-03 09:44:14,141.46,25.08,Delivered
122,99,16,155,2023-06-09 12:57:20,2023-06-09 13:42:20,342.39,27.58,Delivered
123,867,96,72,2024-03-26 07:20:54,2024-03-26 08:24:54,580.13,52.76,Delivered
124,628,31,130,2024-03-18 21:57:27,2024-03-18 22:25:27,220.73,38.91,Delivered
125,223,92,50,2023-08-07 22:11:29,,1360.36,36.86,Pending
126,102,28,130,2024-10-23 05:19:21,2024-10-23 06:39:21,600.38,39.47,Delivered
127,981,14,47,2024-10-10 08:43:17,2024-10-10 09:48:17,1473.45,31.2,Delivered
128,418,15,195,2023-09-02 02:36:32,2023-09-02 03:11:32,741.58,35.99,Delivered
129,370,91,74,2024-03-08 17:41:43,2024-03-08 18:06:43,196.79,34.69,Delivered
130,468,77,189,2023-08-31 08:13:49,,400.74,30.36,Pending
131,439,25,18,2024-11-25 23:26:07,2024-11-26 00:46:07,1413.5,28.37,Delivered
132,691,63,173,2023-03-23 16:32:45,2023-03-23 17:42:45,702.04,42.93,Delivered
133,147,51,103,2024-06-23 20:25:51,2024-06-23 20:58:51,1132.83,54.62,Delivered
134,373,26,87,2023-06-05 13:10:55,2023-06-05 14:21:55,254.32,51.91,Delivered
135,286,98,183,2024-08-17 22:45:21,,1153.95,50.05,Pending
136,365,61,171,2024-04-13 11:49:06,2024-04-13 13:00:06,1482.28,35.57,Delivered
137,466,14,32,2023-07-14 17:11:51,2023-07-14 18:33:51,786.13,41.42,Delivered
138,102,95,14,2024-10-06 22:08:46,2024-10-06 22:36:46,787.35,11.34,Delivered
139,620,87,84,2023-04-29 15:13:03,2023-04-29 16:11:03,963.19,14.82,Delivered
140,770,67,197,2024-01-18 07:02:24,2024-01-18 08:21:24,366.74,43.1,Delivered
141,268,70,88,2024-09-20 17:49:50,2024-09-20 19:18:50,856.2,57.63,Delivered
142,441,16,99,2023-12-16 14:45:41,2023-12-16 15:45:41,1291.08,32.13,Delivered
143,182,72,169,2024-10-30 06:17:09,2024-10-30 07:15:09,1336.27,18.21,Delivered
144,320,92,100,2024-01-14 14:49:06,2024-01-14 15:23:06,887.77,34.53,Delivered
145,553,74,121,2024-01-05 15:37:30,2024-01-05 16:17:30,799.49,29.57,Delivered
146,995,49,158,2024-06-09 10:38:46,2024-06-09 11:43:46,1168.39,24.22,Delivered
147,605,6,33,2024-10-12 01:35:00,2024-10-12 02:41:00,575.41,47.1,Delivered
148,913,81,88,2023-10-23 14:24:07,2023-10-23 14:56:07,687.97,59.6,Delivered
149,58,85,63,2023-07-12 07:51:29,,1000.28,39.63,Cancelled
150,68,40,30,2023-09-20 05:12:47,2023-09-20 05:53:47,107.99,26.31,Delivered
151,885,55,146,2024-02-04 19:49:06,2024-02-04 21:02:06,458.6,44.8,Delivered
152,325,49,147,2023-10-31 03:44:02,2023-10-31 04:45:02,893.0,50.42,Delivered
153,692,27,87,2024-01-21 19:44:39,2024-01-21 21:08:39,1232.27,43.37,Delivered
154,307,47,112,2023-06-06 17:03:12,2023-06-06 18:26:12,982.33,58.71,Delivered
155,871,69,55,2023-08-12 04:41:45,2023-08-12 05:34:45,147.49,59.81,Delivered
156,232,80,191,2023-03-13 10:13:05,2023-03-13 10:45:05,920.45,23.67,Delivered
157,544,61,110,2023-06-12 21:49:16,2023-06-12 22:53:16,1209.83,42.58,Delivered
158,824,39,111,2024-05-30 07:43:45,2024-05-30 09:12:45,524.96,30.72,Delivered
159,528,59,172,2024-08-15 23:35:39,2024-08-16 01:05:39,336.45,10.93,Delivered
160,884,24,148,2024-01-23 17:49:48,,1018.34,51.2,Cancelled
161,275,82,137,2024-09-20 07:36:46,2024-09-20 08:51:46,1407.18,46.33,Delivered
162,206,47,119,2023-04-25 18:08:31,2023-04-25 18:58:31,293.67,44.27,Delivered
163,446,53,82,2024-10-30 03:01:41,2024-10-30 03:29:41,980.18,52.3,Delivered
164,294,83,42,2023-07-19 04:30:42,2023-07-19 05:20:42,656.33,15.68,Delivered
165,252,40,119,2024-01-13 00:10:58,2024-01-13 01:25:58,679.27,55.28,Delivered
166,280,18,8,2023-07-20 16:51:58,,1015.31,18.8,Cancelled
167,987,93,125,2024-08-30 13:53:38,2024-08-30 14:15:38,158.56,54.83,Delivered
168,306,9,105,2024-11-27 13:03:53,2024-11-27 14:09:53,1033.77,54.29,Delivered
169,860,93,36,2023-07-03 08:07:33,2023-07-03 08:41:33,890.78,35.01,Delivered
170,681,75,199,2024-12-24 13:27:19,2024-12-24 14:54:19,437.57,54.23,Delivered
171,126,99,81,2023-09-13 18:20:03,,1224.3,47.2,Cancelled
172,224,19,28,2023-05-17 01:06:43,2023-05-17 01:53:43,1457.29,31.97,Delivered
173,604,8,126,2024-02-19 08:36:03,2024-02-19 09:43:03,1073.46,15.65,Delivered
174,487,88,64,2023-08-04 17:19:57,,595.46,45.78,Cancelled
175,22,83,156,2023-01-28 00:53:41,2023-01-28 01:19:41,1060.77,49.44,Delivered
176,566,50,80,2024-05-11 06:52:25,2024-05-11 07:58:25,1362.48,44.26,Delivered
177,243,57,100,2023-01-07 02:38:05,2023-01-07 03:48:05,1397.06,55.9,Delivered
178,959,97,61,2023-08-20 00:21:53,2023-08-20 01:07:53,1300.37,18.01,Delivered
179,325,99,165,2023-11-12 13:46:20,2023-11-12 14:10:20,469.13,14.0,Delivered
180,504,61,189,2023-11-17 18:09:24,,1098.69,53.84,Cancelled
181,845,21,179,2023-07-22 16:50:05,2023-07-22 18:14:05,174.24,31.04,Delivered
182,561,95,84,2023-12-19 01:24:41,2023-12-19 01:47:41,1162.01,42.07,Delivered
183,455,83,35,2023-01-03 09:20:13,2023-01-03 10:31:13,364.11,25.28,Delivered
184,114,21,64,2024-02-06 01:45:28,2024-02-06 02:21:28,1282.68,44.29,Delivered
185,328,58,123,2024-11-09 11:19:44,,450.17,44.37,Cancelled
186,819,37,51,2023-03-07 13:18:37,2023-03-07 14:31:37,601.99,29.67,Delivered
187,855,74,58,2023-01-17 02:31:17,2023-01-17 02:53:17,1390.82,42.36,Delivered
188,929,12,119,2023-06-03 23:56:59,2023-06-04 00:49:59,1075.79,18.44,Delivered
189,440,77,67,2023-04-26 22:14:38,2023-04-26 22:45:38,1440.41,18.51,Delivered
190,15,92,135,2023-12-04 23:56:48,2023-12-05 01:14:48,1254.71,34.71,Delivered
191,209,25,69,2023-08-12 16:00:00,2023-08-12 17:23:00,622.54,31.57,Delivered
192,221,37,187,2024-06-09 23:42:41,2024-06-10 00:26:41,674.03,30.43,Delivered
193,298,34,61,2024-04-24 18:23:39,2024-04-24 19:40:39,1368.41,28.48,Delivered
194,470,11,3,2023-12-31 04:35:12,2023-12-31 05:12:12,1317.45,58.72,Delivered
195,218,92,99,2024-07-04 06:31:27,2024-07-04 07:45:27,1125.27,22.81,Delivered
196,61,7,86,2024-12-24 04:18:08,2024-12-24 05:08:08,748.72,27.72,Delivered
197,687,77,182,2024-08-04 04:14:19,2024-08-04 04:39:19,87.61,35.23,Delivered
198,405,86,95,2023-04-13 17:05:58,2023-04-13 17:30:58,904.29,23.01,Delivered
199,953,44,120,2023-04-13 11:09:30,2023-04-13 11:40:30,530.59,36.52,Delivered
200,120,41,12,2023-04-10 07:41:50,2023-04-10 09:04:50,1317.78,51.74,Delivered
201,949,56,73,2024-12-02 05:16:30,2024-12-02 06:09:30,950.36,48.08,Delivered
202,321,56,43,2023-09-03 02:08:46,,1164.42,17.56,Cancelled
203,674,82,113,2023-02-11 08:08:00,2023-02-11 08:52:00,291.04,21.49,Delivered
204,267,21,181,2023-12-29 19:59:14,2023-12-29 21:14:14,244.75,54.76,Delivered
205,453,46,182,2024-03-11 15:05:09,2024-03-11 16:27:09,730.02,15.62,Delivered
206,152,16,90,2023-03-14 16:25:05,2023-03-14 17:11:05,1312.81,19.03,Delivered
207,521,35,145,2024-11-22 23:28:39,2024-11-23 00:15:39,908.64,58.58,Delivered
208,585,24,107,2024-12-15 21:44:44,2024-12-15 22:13:44,429.54,34.91,Delivered
209,337,4,73,2024-06-13 04:34:57,,639.72,39.52,Pending
210,858,42,40,2023-01-23 10:15:35,2023-01-23 10:45:35,733.53,45.39,Delivered
211,644,35,153,2024-05-26 02:07:35,2024-05-26 02:27:35,547.79,12.19,Delivered
212,464,42,188,2024-07-24 08:42:31,2024-07-24 09:18:31,380.14,12.43,Delivered
213,331,8,191,2023-02-24 22:23:33,2023-02-24 23:53:33,1431.7,29.07,Delivered
214,183,31,198,2024-11-03 06:22:42,2024-11-03 07:33:42,206.65,52.62,Delivered
215,799,52,73,2024-05-17 16:05:09,2024-05-17 16:44:09,251.25,34.54,Delivered
216,826,40,176,2024-04-13 18:18:32,2024-04-13 18:54:32,589.84,14.81,Delivered
217,205,63,115,2024-11-18 17:17:43,2024-11-18 18:26:43,756.54,38.15,Delivered
218,775,55,95,2024-04-21 19:19:29,2024-04-21 20:02:29,696.43,31.3,Delivered
219,350,60,174,2023-06-24 03:57:14,2023-06-24 04:36:14,1401.55,36.36,Delivered
220,86,38,120,2023-12-06 16:53:52,2023-12-06 17:23:52,1368.23,33.88,Delivered
221,131,88,77,2024-10-15 15:24:16,2024-10-15 16:15:16,822.79,24.77,Delivered
222,79,6,132,2023-03-25 14:24:32,2023-03-25 15:49:32,683.38,14.72,Delivered
223,583,33,91,2023-07-17 22:56:18,2023-07-17 23:26:18,1171.48,10.81,Delivered
224,474,23,47,2024-10-16 16:58:40,2024-10-16 18:08:40,144.27,30.81,Delivered
225,322,76,186,2023-12-20 09:46:48,,965.81,23.25,Pending
226,893,24,55,2023-05-24 18:16:44,,1140.78,40.2,Cancelled
227,109,56,137,2023-01-14 21:57:50,2023-01-14 22:17:50,640.81,10.67,Delivered
228,472,89,104,2024-11-05 19:14:33,2024-11-05 20:36:33,509.98,50.66,Delivered
229,708,87,177,2024-06-08 08:49:07,2024-06-08 09:59:07,1222.59,14.38,Delivered
230,196,15,5,2024-06-24 14:59:06,2024-06-24 15:43:06,1299.8,20.46,Delivered
231,666,31,112,2024-10-16 01:41:23,2024-10-16 03:09:23,351.1,25.05,Delivered
232,486,55,6,2023-04-01 10:56:59,2023-04-01 11:37:59,1361.43,46.94,Delivered
233,497,61,6,2024-10-29 19:46:02,2024-10-29 21:03:02,911.02,20.07,Delivered
234,854,51,14,2023-09-17 07:24:58,2023-09-17 07:45:58,225.78,52.38,Delivered
235,426,64,189,2024-03-25 11:01:40,2024-03-25 12:31:40,1498.62,11.85,Delivered
236,526,76,186,2024-04-19 23:05:54,2024-04-20 00:27:54,409.31,13.04,Delivered
237,591,41,142,2023-02-19 07:55:22,2023-02-19 08:49:22,1347.89,30.86,Delivered
238,507,80,166,2023-09-27 08:09:05,2023-09-27 09:26:05,1070.47,11.04,Delivered
239,197,61,89,2023-12-07 06:58:30,2023-12-07 07:47:30,800.84,39.38,Delivered
240,944,78,184,2024-05-25 06:35:14,2024-05-25 07:54:14,266.25,24.67,Delivered
241,983,54,173,2024-05-21 19:29:06,,1210.28,49.99,Cancelled
242,637,27,73,2024-06-20 11:32:07,2024-06-20 12:03:07,1027.22,16.45,Delivered
243,621,63,26,2024-09-08 07:35:06,2024-09-08 08:48:06,1419.14,34.69,Delivered
244,571,7,5,2023-10-06 16:16:11,,587.0,17.93,Cancelled
245,916,65,9,2024-09-18 16:07:54,2024-09-18 16:35:54,559.58,15.7,Delivered
246,576,29,125,2023-07-20 06:09:10,2023-07-20 07:12:10,1194.54,48.47,Delivered
247,571,35,39,2024-10-24 20:40:51,2024-10-24 22:05:51,938.09,15.21,Delivered
248,969,57,118,2024-10-15 16:30:16,2024-10-15 17:04:16,1464.02,49.08,Delivered
249,879,14,144,2023-02-02 14:22:01,,229.68,41.5,Cancelled
250,933,47,41,2024-07-19 17:24:52,2024-07-19 18:21:52,1085.59,48.1,Delivered
251,892,13,40,2024-05-17 14:41:14,,555.14,16.89,Cancelled
252,450,54,197,2024-08-20 07:49:02,2024-08-20 08:09:02,428.35,50.46,Delivered
253,518,22,22,2023-07-26 14:53:26,2023-07-26 16:00:26,1095.58,30.75,Delivered
254,252,20,193,2024-08-08 06:23:30,2024-08-08 07:50:30,678.85,21.41,Delivered
255,424,53,118,2024-10-24 01:42:36,2024-10-24 03:08:36,1208.34,28.09,Delivered
256,150,99,3,2024-07-11 09:30:47,2024-07-11 10:56:47,1419.97,14.24,Delivered
257,791,22,112,2023-02-17 17:51:09,2023-02-17 19:01:09,1158.05,43.01,Delivered
258,925,74,15,2024-05-05 14:01:05,,1461.18,30.97,Cancelled
259,718,71,78,2024-07-14 10:41:10,2024-07-14 11:41:10,1371.11,10.4,Delivered
260,541,79,38,2024-06-27 22:26:46,2024-06-27 23:37:46,713.59,20.26,Delivered
261,808,80,167,2023-12-10 10:09:29,2023-12-10 11:13:29,1340.5,49.08,Delivered
262,203,39,22,2023-01-29 17:10:26,2023-01-29 18:38:26,554.98,46.25,Delivered
263,130,67,139,2023-08-09 12:47:56,2023-08-09 13:34:56,211.8,37.59,Delivered
264,776,82,41,2023-01-19 04:36:46,2023-01-19 04:59:46,1344.25,37.0,Delivered
265,853,100,78,2024-07-18 07:06:50,2024-07-18 08:20:50,1481.48,15.52,Delivered
266,382,34,161,2024-01-30 04:28:26,,255.81,47.83,Pending
267,460,39,147,2024-07-26 08:02:30,2024-07-26 08:22:30,723.47,59.15,Delivered
268,596,73,183,2024-11-25 15:41:07,2024-11-25 17:09:07,1279.18,21.69,Delivered
269,683,92,147,2024-06-06 07:04:28,2024-06-06 07:41:28,1094.38,35.98,Delivered
270,336,67,150,2023-05-30 13:29:24,2023-05-30 14:35:24,725.12,17.33,Delivered
271,422,11,24,2023-02-18 07:22:26,2023-02-18 08:36:26,1341.68,33.81,Delivered
272,379,87,135,2023-11-09 19:52:23,2023-11-09 21:18:23,1185.93,53.6,Delivered
273,652,55,113,2024-06-19 04:13:25,2024-06-19 05:35:25,1119.04,30.85,Delivered
274,518,17,125,2024-07-06 08:48:26,,263.73,45.23,Cancelled
275,121,89,55,2023-12-20 17:52:29,2023-12-20 19:12:29,126.3,17.84,Delivered
276,944,16,155,2024-10-24 00:21:19,2024-10-24 01:33:19,236.68,28.48,Delivered
277,536,20,31,2023-10-16 12:39:12,2023-10-16 13:38:12,1487.25,25.16,Delivered
278,811,19,37,2024-08-31 18:57:04,,149.08,54.71,Cancelled
279,221,24,190,2024-01-15 15:46:27,,253.71,27.43,Cancelled
280,428,62,147,2023-08-29 13:15:41,2023-08-29 14:32:41,1358.41,49.07,Delivered
281,738,78,34,2024-08-14 19:48:01,2024-08-14 20:25:01,796.76,33.05,Delivered
282,460,20,187,2023-09-10 14:28:15,2023-09-10 14:59:15,1215.73,43.23,Delivered
283,239,51,87,2024-02-25 04:52:03,2024-02-25 05:17:03,1440.47,54.5,Delivered
284,662,12,43,2024-07-03 07:19:27,2024-07-03 07:42:27,892.23,49.81,Delivered
285,575,83,32,2024-05-15 03:25:49,2024-05-15 03:55:49,353.25,40.94,Delivered
286,55,73,134,2023-05-28 02:35:41,2023-05-28 03:55:41,793.75,10.93,Delivered
287,545,24,5,2023-08-02 13:40:22,,428.31,45.28,Cancelled
288,455,11,137,2024-04-16 08:35:37,,650.55,12.25,Cancelled
289,24,44,112,2023-05-21 04:54:47,2023-05-21 06:07:47,114.16,36.4,Delivered
290,94,15,26,2024-02-25 19:29:51,2024-02-25 20:10:51,485.2,19.13,Delivered
291,158,40,105,2024-06-11 02:10:50,2024-06-11 02:51:50,163.66,58.06,Delivered
292,731,8,77,2023-10-30 21:00:11,2023-10-30 21:32:11,534.46,30.64,Delivered
293,385,16,14,2023-06-07 07:58:55,2023-06-07 08:48:55,1148.03,39.3,Delivered
294,771,65,99,2023-03-31 09:16:20,2023-03-31 10:10:20,166.1,33.24,Delivered
295,496,4,105,2024-05-07 02:03:56,2024-05-07 02:52:56,1377.5,10.93,Delivered
296,601,87,26,2023-07-11 07:39:53,2023-07-11 08:15:53,512.55,30.34,Delivered
297,652,65,53,2024-08-31 01:58:13,2024-08-31 02:36:13,610.09,59.27,Delivered
298,551,55,143,2023-12-17 21:04:52,,81.42,33.23,Cancelled
299,297,84,43,2023-01-01 10:07:15,2023-01-01 10:34:15,1405.58,34.11,Delivered
300,860,88,98,2023-09-30 22:54:17,2023-09-30 23:41:17,910.93,35.52,Delivered
301,757,69,145,2023-02-24 07:41:13,,207.4,44.92,Cancelled
302,743,72,72,2024-11-13 04:18:45,2024-11-13 05:33:45,379.41,35.24,Delivered
303,906,88,88,2024-05-08 08:25:29,2024-05-08 09:18:29,1471.09,45.39,Delivered
304,679,42,88,2023-06-13 14:18:50,,1441.77,26.42,Cancelled
305,137,83,1,2024-04-17 20:36:27,2024-04-17 21:56:27,86.08,10.48,Delivered
